Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,2668036,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Life Is Good (feat. Drake),Future,1666622,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
3,Godzilla (feat. Juice WRLD),Eminem,1203036,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
4,ROXANNE,Arizona Zervas,1075982,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Blinding Lights,The Weeknd,1011285,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Falling,Trevor Daniel,981163,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,High Fashion (feat. Mustard),Roddy Ricch,959569,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
8,Circles,Post Malone,958891,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,everything i wanted,Billie Eilish,927810,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,BOP,DaBaby,923602,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
11,Suicidal,YNW Melly,922256,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
12,Don't Start Now,Dua Lipa,891885,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,Dance Monkey,Tones and I,856882,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Ballin' (with Roddy Ricch),Mustard,838854,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
15,Bandit (with YoungBoy Never Broke Again),Juice WRLD,796991,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
16,Say So,Doja Cat,720513,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,713140,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
18,Yummy,Justin Bieber,699039,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
19,Adore You,Harry Styles,682562,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
20,Woah,Lil Baby,682558,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
