Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,487372,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,414053,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,No Time To Die,Billie Eilish,370097,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
4,Roses - Imanbek Remix,SAINt JHN,367378,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,Before You Go,Lewis Capaldi,316047,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
6,Don't Start Now,Dua Lipa,308505,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Intentions (feat. Quavo),Justin Bieber,301910,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,292698,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
9,Dance Monkey,Tones and I,291718,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Life Is Good (feat. Drake),Future,263505,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
11,Godzilla (feat. Juice WRLD),Eminem,256857,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
12,Adore You,Harry Styles,256531,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
13,Someone You Loved,Lewis Capaldi,250561,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,Lonely,Joel Corry,243138,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
15,everything i wanted,Billie Eilish,231949,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,Say So,Doja Cat,229621,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,You should be sad,Halsey,227932,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
18,ROXANNE,Arizona Zervas,210018,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
19,My Oh My (feat. DaBaby),Camila Cabello,202681,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
20,Physical,Dua Lipa,197977,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
21,After Hours,The Weeknd,189121,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
22,Better Off Without You (feat. Shift K3Y),Becky Hill,177275,https://open.spotify.com/track/3oIVK7arAFuUOCGafPLxSC
23,Falling,Trevor Daniel,176670,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
24,Bruises,Lewis Capaldi,166688,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
25,bad guy,Billie Eilish,164061,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,Circles,Post Malone,159756,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
27,Play Play (feat. Burna Boy),J Hus,156055,https://open.spotify.com/track/3R60ekRcGXuaoZmnbdlf3n
28,Location (feat. Burna Boy),Dave,153632,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
29,What A Man Gotta Do,Jonas Brothers,152473,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
30,Lose Control,MEDUZA,152027,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
